路段,时间,蓝牌车辆数,黄牌车辆数,合计,平均车速,大车混入率,拥堵路段占比,可吸入物排放量,氮氧化物排放量,一氧化碳排放量,服务水平,管控措施,路段预测流量,v2x平均车速,v2x平均车头时距,v2x车辆数,v2x行驶里程,v2x车牌号,v2x车辆类型
机场互通_瓜沥互通_杭州方向,2021-06-12 10:04:00,218,182,781,104,0.67,0.24,429,425,642,B,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,395,109,6,14,121,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:04:00,252,100,729,110,0.38,0.24,338,429,745,C,无,321,102,3,10,106,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:04:00,217,103,676,110,0.29,0.36,478,401,632,A,瓜沥互通_柯桥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,484,108,5,14,124,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:04:00,259,142,739,110,0.22,0.37,351,414,618,A,无,395,103,9,13,112,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:04:00,219,192,646,112,0.38,0.32,461,428,641,A,无,348,108,3,18,107,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:04:00,267,154,627,117,0.33,0.35,426,407,622,B,无,432,112,9,19,105,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:04:00,293,109,710,109,0.51,0.25,470,418,687,D,齐贤枢纽_绍兴互通_杭州方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,376,106,4,10,117,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:04:00,271,153,798,117,0.38,0.31,461,412,695,C,齐贤枢纽_绍兴互通_宁波方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,352,105,7,14,114,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:04:00,225,121,714,106,0.38,0.21,389,429,685,B,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,353,112,7,16,100,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:04:00,251,104,796,110,0.35,0.2,401,400,694,A,无,453,116,13,15,121,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:04:00,211,158,708,115,0.57,0.32,421,412,721,B,沽渚枢纽_上虞互通_杭州方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,361,104,13,11,127,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:04:00,256,125,704,109,0.64,0.27,368,418,659,D,沽渚枢纽_上虞互通_宁波方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,479,102,14,16,124,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:04:00,278,197,763,104,0.37,0.36,404,408,610,D,无,308,117,8,16,129,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:04:00,255,105,653,110,0.3,0.35,385,401,738,D,上虞互通_牟山互通_宁波方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,350,112,5,10,117,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:04:00,238,187,645,115,0.25,0.32,468,415,676,A,牟山互通_余姚西枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,382,115,5,16,107,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:04:00,276,141,672,110,0.57,0.21,468,424,716,D,牟山互通_余姚西枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,413,102,9,10,121,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:04:00,234,122,750,107,0.41,0.33,483,424,652,B,无,428,107,12,14,118,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:04:00,209,149,702,105,0.38,0.31,310,427,664,B,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,362,113,8,10,117,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:04:00,273,182,690,104,0.4,0.37,324,425,611,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,326,111,10,13,106,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:04:00,268,181,693,114,0.55,0.24,326,418,666,A,无,302,112,14,16,106,浙A***58,小汽车
路网,2021-06-12 10:05:00,229,138,788,118,0.43,0.29,323,425,616,C,无,400,102,11,15,119,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:05:00,225,138,734,108,0.29,0.32,416,429,751,D,红垦枢纽_机场互通_杭州方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,416,105,6,17,104,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:05:00,278,126,653,104,0.27,0.27,485,430,619,B,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,330,117,9,13,108,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:05:00,216,115,707,112,0.55,0.24,465,422,668,B,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,395,107,13,12,130,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:05:00,246,134,722,103,0.22,0.27,453,422,644,C,无,321,102,7,16,122,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:05:00,240,161,725,117,0.5,0.31,314,418,685,A,瓜沥互通_柯桥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,484,109,10,10,111,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:05:00,258,155,654,114,0.28,0.25,318,416,665,A,无,395,102,14,17,115,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:05:00,281,178,735,117,0.32,0.23,347,424,603,A,无,348,104,6,13,126,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:05:00,212,139,658,108,0.67,0.21,349,431,712,B,无,432,113,14,17,118,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:05:00,226,121,710,114,0.33,0.36,476,416,688,D,齐贤枢纽_绍兴互通_杭州方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,376,118,11,14,129,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:05:00,281,193,683,110,0.23,0.4,440,416,641,C,齐贤枢纽_绍兴互通_宁波方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,352,118,7,11,123,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:05:00,244,145,785,104,0.31,0.35,475,428,723,B,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,353,118,6,19,112,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:05:00,260,168,774,108,0.33,0.4,459,414,750,A,无,453,109,7,17,127,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:05:00,232,145,652,111,0.23,0.23,458,412,722,B,沽渚枢纽_上虞互通_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,361,111,8,15,102,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:05:00,238,117,768,111,0.65,0.37,325,426,650,D,沽渚枢纽_上虞互通_宁波方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,479,116,7,17,119,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:05:00,252,165,778,105,0.47,0.26,374,429,658,D,无,308,113,12,12,125,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:05:00,206,156,669,115,0.31,0.38,428,403,701,D,上虞互通_牟山互通_宁波方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,350,115,10,11,127,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:05:00,211,167,734,104,0.24,0.22,478,407,640,A,牟山互通_余姚西枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,382,109,5,14,119,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:05:00,243,133,625,114,0.25,0.26,404,430,649,D,牟山互通_余姚西枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,413,104,13,19,117,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:05:00,262,107,626,107,0.44,0.39,381,429,686,B,无,428,109,7,14,126,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:05:00,239,129,634,112,0.37,0.32,311,401,719,B,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,362,103,11,17,128,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:05:00,226,171,663,114,0.56,0.21,352,404,605,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,326,103,3,16,121,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:05:00,288,194,762,115,0.37,0.35,417,430,624,A,无,302,111,6,10,105,浙A***58,小汽车
路网,2021-06-12 10:06:00,223,173,722,103,0.23,0.3,362,427,653,C,无,400,104,6,12,110,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:06:00,275,168,721,106,0.2,0.3,421,414,677,D,红垦枢纽_机场互通_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,416,113,4,10,115,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:06:00,256,130,705,112,0.59,0.27,408,421,725,B,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,330,109,8,18,103,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:06:00,225,161,725,116,0.31,0.3,316,407,714,B,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,395,115,13,11,106,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:06:00,242,107,739,109,0.43,0.37,471,428,648,C,无,321,116,12,13,126,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:06:00,261,195,607,111,0.44,0.24,335,425,656,A,瓜沥互通_柯桥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,484,103,14,13,117,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:06:00,255,188,624,110,0.56,0.21,371,413,673,A,无,395,103,12,15,117,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:06:00,284,119,774,118,0.33,0.24,463,414,734,A,无,348,102,12,19,123,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:06:00,271,198,648,107,0.61,0.25,482,424,685,B,无,432,103,6,16,116,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:06:00,216,150,625,110,0.29,0.21,494,412,685,D,齐贤枢纽_绍兴互通_杭州方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,376,104,4,18,124,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:06:00,225,144,725,117,0.68,0.25,327,429,703,C,齐贤枢纽_绍兴互通_宁波方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,352,114,8,13,120,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:06:00,210,127,624,113,0.47,0.3,445,430,728,B,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,353,104,6,16,118,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:06:00,202,175,601,117,0.37,0.37,413,408,743,A,无,453,103,3,14,102,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:06:00,257,127,699,106,0.41,0.27,321,426,695,B,沽渚枢纽_上虞互通_杭州方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,361,104,4,19,110,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:06:00,247,105,711,115,0.25,0.34,480,425,620,D,沽渚枢纽_上虞互通_宁波方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,479,105,5,10,113,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:06:00,255,166,669,117,0.68,0.22,352,406,658,D,无,308,110,3,11,116,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:06:00,290,157,733,109,0.52,0.2,470,414,673,D,上虞互通_牟山互通_宁波方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,350,111,13,10,103,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:06:00,250,139,652,118,0.66,0.39,325,415,700,A,牟山互通_余姚西枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,382,106,9,14,131,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:06:00,225,110,783,103,0.28,0.24,440,416,672,D,牟山互通_余姚西枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,413,110,6,16,109,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:06:00,219,164,619,118,0.51,0.28,488,411,680,B,无,428,115,4,17,120,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:06:00,242,118,673,107,0.47,0.39,320,430,604,B,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,362,109,11,18,115,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:06:00,253,142,645,116,0.4,0.27,338,427,648,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,326,104,9,16,115,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:06:00,299,142,689,118,0.26,0.36,419,429,670,A,无,302,104,6,13,112,浙A***58,小汽车
路网,2021-06-12 10:07:00,290,187,711,116,0.41,0.36,429,418,656,C,无,400,104,3,16,106,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:07:00,266,112,736,105,0.29,0.34,389,430,706,D,红垦枢纽_机场互通_杭州方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,416,118,4,18,113,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:07:00,236,173,756,116,0.42,0.2,359,417,704,B,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,330,107,14,17,128,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:07:00,277,191,680,106,0.45,0.28,464,420,616,B,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,395,116,13,11,125,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:07:00,220,193,661,114,0.43,0.3,437,400,741,C,无,321,118,6,12,104,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:07:00,295,199,609,104,0.62,0.3,321,403,619,A,瓜沥互通_柯桥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,484,112,14,12,117,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:07:00,281,191,769,111,0.66,0.39,452,431,737,A,无,395,113,4,16,105,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:07:00,286,185,654,118,0.41,0.4,324,402,710,A,无,348,110,10,10,125,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:07:00,265,154,601,103,0.33,0.22,460,421,638,B,无,432,111,6,14,105,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:07:00,263,184,770,106,0.2,0.37,495,421,717,D,齐贤枢纽_绍兴互通_杭州方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,376,107,7,17,105,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:07:00,276,159,600,114,0.22,0.32,354,410,685,C,齐贤枢纽_绍兴互通_宁波方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,352,108,13,12,110,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:07:00,278,154,758,107,0.25,0.31,401,430,690,B,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,353,105,9,15,129,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:07:00,243,134,799,114,0.48,0.32,493,431,633,A,无,453,104,13,11,105,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:07:00,270,165,765,115,0.37,0.33,406,407,692,B,沽渚枢纽_上虞互通_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,361,103,8,14,109,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:07:00,228,103,602,107,0.63,0.37,482,409,638,D,沽渚枢纽_上虞互通_宁波方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,479,116,4,19,128,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:07:00,263,108,738,108,0.36,0.37,359,407,712,D,无,308,112,6,12,102,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:07:00,250,113,771,109,0.52,0.32,337,431,722,D,上虞互通_牟山互通_宁波方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,350,117,3,11,118,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:07:00,214,125,794,111,0.39,0.2,399,416,611,A,牟山互通_余姚西枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,382,104,11,14,124,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:07:00,252,172,647,108,0.22,0.25,303,411,688,D,牟山互通_余姚西枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,413,111,13,14,119,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:07:00,244,138,722,106,0.24,0.33,498,420,645,B,无,428,105,8,16,106,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:07:00,278,162,619,116,0.32,0.32,350,429,675,B,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,362,114,7,17,130,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:07:00,279,132,783,109,0.21,0.27,407,400,667,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,326,118,10,16,115,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:07:00,224,152,624,113,0.7,0.23,337,429,619,A,无,302,114,3,16,102,浙A***58,小汽车
路网,2021-06-12 10:08:00,220,192,722,109,0.4,0.26,459,413,641,C,无,400,108,11,16,126,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:08:00,212,108,771,104,0.27,0.23,335,425,635,D,红垦枢纽_机场互通_杭州方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,416,102,3,15,103,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:08:00,238,146,732,116,0.23,0.27,345,415,674,B,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,330,106,4,14,107,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:08:00,202,158,784,110,0.32,0.38,466,401,637,B,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,395,107,14,14,119,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:08:00,220,146,601,114,0.38,0.25,420,402,674,C,无,321,117,6,17,106,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:08:00,259,198,772,116,0.29,0.37,327,424,648,A,瓜沥互通_柯桥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,484,114,3,12,101,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:08:00,219,149,618,109,0.36,0.39,441,415,702,A,无,395,103,9,12,102,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:08:00,265,123,780,110,0.26,0.29,308,428,747,A,无,348,108,10,12,111,浙A***58,小汽车
