路段,时间,蓝牌车辆数,黄牌车辆数,合计,平均车速,大车混入率,拥堵路段占比,可吸入物排放量,氮氧化物排放量,一氧化碳排放量,服务水平,管控措施,路段预测流量,v2x平均车速,v2x平均车头时距,v2x车辆数,v2x行驶里程,v2x车牌号,v2x车辆类型
机场互通_瓜沥互通_杭州方向,2021-06-12 10:17:00,263,171,793,103,0.36,0.34,429,428,641,D,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,407,106,9,13,121,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:17:00,288,184,774,113,0.22,0.38,470,423,672,A,机场互通_瓜沥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,473,110,12,13,116,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:17:00,298,167,732,116,0.41,0.37,455,428,646,D,无,458,105,14,19,131,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:17:00,236,151,632,117,0.44,0.29,446,413,633,A,瓜沥互通_柯桥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,385,114,7,11,104,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:17:00,226,164,710,104,0.61,0.31,441,417,694,B,无,459,103,14,16,128,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:17:00,273,170,728,118,0.44,0.2,405,417,706,C,柯桥互通_齐贤枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,428,102,8,11,113,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:17:00,296,148,601,111,0.27,0.29,313,422,694,C,齐贤枢纽_绍兴互通_杭州方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,378,103,4,17,127,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:17:00,252,100,608,104,0.44,0.38,395,417,618,B,无,421,112,3,14,103,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:17:00,229,127,648,107,0.48,0.36,348,409,706,C,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,480,111,7,17,113,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:17:00,293,130,782,116,0.21,0.38,446,401,632,A,绍兴互通_沽渚枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,418,113,7,10,100,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:17:00,283,125,734,103,0.43,0.34,407,422,726,B,无,394,105,13,14,131,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:17:00,232,133,711,110,0.29,0.37,488,420,652,D,无,301,115,6,13,109,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:17:00,286,145,644,108,0.3,0.38,333,431,653,A,无,381,113,10,12,130,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:17:00,208,110,720,103,0.29,0.29,311,424,741,D,上虞互通_牟山互通_宁波方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,459,104,9,13,101,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:17:00,264,155,652,118,0.3,0.23,492,419,621,A,无,462,116,9,16,114,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:17:00,231,135,760,110,0.23,0.36,338,419,645,C,无,470,115,10,14,105,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:17:00,286,103,717,112,0.62,0.32,389,406,675,C,无,460,114,5,19,111,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:17:00,239,156,652,118,0.53,0.24,440,406,605,C,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,384,110,10,14,104,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:17:00,292,186,638,113,0.37,0.2,415,423,670,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,445,108,10,11,111,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:17:00,290,146,793,108,0.57,0.32,348,415,626,D,无,475,105,10,15,121,浙A***58,小汽车
路网,2021-06-12 10:18:00,253,132,797,114,0.42,0.36,322,408,735,A,无,350,117,12,11,131,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:18:00,267,101,672,104,0.5,0.29,351,416,627,C,无,498,102,8,16,102,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:18:00,247,194,763,107,0.46,0.27,317,405,602,C,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,412,107,8,11,100,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:18:00,274,145,630,104,0.48,0.32,442,429,653,D,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,407,117,11,15,102,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:18:00,228,120,756,117,0.28,0.28,455,414,648,A,机场互通_瓜沥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,473,118,10,17,104,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:18:00,221,110,676,113,0.41,0.34,408,414,689,D,无,458,109,6,10,122,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:18:00,234,111,763,103,0.36,0.33,465,423,632,A,瓜沥互通_柯桥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,385,111,7,10,115,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:18:00,222,108,640,113,0.58,0.33,477,418,649,B,无,459,115,3,18,110,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:18:00,249,130,749,113,0.53,0.23,412,422,632,C,柯桥互通_齐贤枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,428,115,6,17,128,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:18:00,287,135,795,108,0.52,0.29,309,405,630,C,齐贤枢纽_绍兴互通_杭州方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,378,112,10,14,126,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:18:00,256,120,671,107,0.49,0.34,388,416,703,B,无,421,118,3,19,122,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:18:00,238,156,727,118,0.3,0.37,437,424,670,C,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,480,118,12,12,111,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:18:00,293,156,774,113,0.24,0.35,363,430,726,A,绍兴互通_沽渚枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,418,103,5,10,105,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:18:00,213,164,646,118,0.43,0.25,428,429,604,B,无,394,116,4,14,120,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:18:00,298,163,650,116,0.21,0.29,334,420,697,D,无,301,104,8,15,100,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:18:00,202,152,728,115,0.52,0.22,307,405,742,A,无,381,106,4,13,131,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:18:00,290,162,758,118,0.35,0.22,460,419,641,D,上虞互通_牟山互通_宁波方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,459,103,6,14,102,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:18:00,213,174,648,111,0.62,0.34,458,417,665,A,无,462,112,4,13,125,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:18:00,273,100,627,107,0.41,0.23,458,409,705,C,无,470,106,5,12,123,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:18:00,251,162,791,107,0.52,0.3,330,424,742,C,无,460,116,4,14,107,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:18:00,248,181,793,118,0.4,0.22,368,404,645,C,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,384,111,10,11,110,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:18:00,269,172,647,103,0.44,0.34,419,421,750,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,445,115,14,12,129,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:18:00,233,186,640,108,0.64,0.38,473,408,650,D,无,475,118,12,10,125,浙A***58,小汽车
路网,2021-06-12 10:19:00,282,151,660,109,0.41,0.33,488,403,752,A,无,350,107,14,19,131,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:19:00,219,132,659,110,0.46,0.22,316,430,671,C,无,498,116,13,13,124,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:19:00,295,182,739,114,0.42,0.22,303,425,668,C,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,412,110,4,17,125,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:19:00,257,139,796,105,0.37,0.26,355,411,722,D,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,407,117,3,17,115,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:19:00,216,160,703,107,0.39,0.2,386,401,679,A,机场互通_瓜沥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,473,106,13,17,105,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:19:00,202,136,707,113,0.68,0.24,460,415,663,D,无,458,109,14,16,124,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:19:00,247,125,780,103,0.4,0.32,302,410,642,A,瓜沥互通_柯桥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,385,111,3,15,107,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:19:00,295,123,623,112,0.5,0.31,391,418,672,B,无,459,110,14,16,119,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:19:00,250,114,780,111,0.35,0.33,491,426,662,C,柯桥互通_齐贤枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,428,118,9,12,121,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:19:00,267,121,680,116,0.26,0.21,451,406,654,C,齐贤枢纽_绍兴互通_杭州方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,378,118,12,12,110,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:19:00,224,119,613,116,0.31,0.35,367,422,612,B,无,421,112,10,17,118,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:19:00,252,169,742,107,0.57,0.24,343,417,748,C,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,480,113,10,14,112,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:19:00,280,130,612,114,0.37,0.37,306,416,727,A,绍兴互通_沽渚枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,418,106,8,19,120,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:19:00,298,156,746,118,0.31,0.24,444,401,698,B,无,394,111,3,12,116,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:19:00,295,166,679,112,0.36,0.21,386,428,649,D,无,301,118,13,14,128,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:19:00,250,176,718,116,0.33,0.36,445,417,730,A,无,381,109,5,13,126,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:19:00,220,129,619,116,0.36,0.31,417,424,713,D,上虞互通_牟山互通_宁波方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,459,114,6,15,102,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:19:00,227,177,760,106,0.49,0.35,346,401,605,A,无,462,113,6,15,118,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:19:00,263,110,786,116,0.52,0.27,316,419,706,C,无,470,105,6,17,124,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:19:00,291,161,683,110,0.66,0.3,351,425,604,C,无,460,116,7,18,114,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:19:00,247,190,758,108,0.63,0.28,353,411,735,C,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,384,103,3,18,111,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:19:00,236,198,683,118,0.58,0.35,394,431,720,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,445,115,13,16,101,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:19:00,266,179,762,117,0.34,0.27,482,421,629,D,无,475,115,6,19,124,浙A***58,小汽车
路网,2021-06-12 10:20:00,207,115,663,103,0.66,0.23,363,400,632,C,无,354,111,5,19,123,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:20:00,204,170,746,105,0.21,0.3,468,418,706,B,红垦枢纽_机场互通_杭州方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,379,113,11,13,125,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:20:00,299,148,657,112,0.52,0.38,397,403,613,D,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,347,105,12,13,131,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:20:00,272,193,618,116,0.42,0.34,335,416,667,D,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,341,109,13,14,113,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:20:00,200,173,763,113,0.24,0.38,306,415,716,C,机场互通_瓜沥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,432,111,10,17,109,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:20:00,251,198,747,115,0.24,0.35,427,406,635,C,无,436,108,3,11,105,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:20:00,213,162,720,104,0.33,0.31,419,417,727,D,无,464,102,8,11,125,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:20:00,209,176,686,114,0.61,0.24,395,419,600,D,无,397,115,11,16,129,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:20:00,219,106,738,113,0.54,0.37,389,405,646,C,无,311,103,7,19,120,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:20:00,294,130,739,117,0.42,0.29,304,410,611,B,无,437,117,8,12,129,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:20:00,296,121,720,109,0.32,0.21,409,401,708,D,无,423,103,12,19,128,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:20:00,238,167,753,104,0.44,0.31,480,403,705,A,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,443,113,8,12,117,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:20:00,226,175,798,104,0.32,0.21,416,409,610,A,无,488,105,7,11,129,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:20:00,277,103,608,108,0.42,0.2,315,419,605,A,沽渚枢纽_上虞互通_杭州方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,383,103,7,16,121,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:20:00,249,119,692,103,0.68,0.35,458,417,732,C,无,457,113,11,12,102,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:20:00,209,132,606,110,0.42,0.27,491,401,723,D,无,434,114,13,18,114,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:20:00,284,123,756,115,0.47,0.2,327,429,641,B,无,472,110,3,14,127,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:20:00,239,151,627,105,0.22,0.32,456,428,728,A,无,379,116,14,12,104,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:20:00,222,150,745,103,0.6,0.33,453,413,688,B,牟山互通_余姚西枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,468,115,6,16,104,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:20:00,284,142,696,115,0.33,0.27,353,424,617,B,无,416,115,10,11,106,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:20:00,295,161,783,116,0.38,0.22,401,419,706,C,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,372,106,5,12,129,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:20:00,263,113,733,108,0.64,0.21,351,419,723,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,464,110,14,12,123,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:20:00,216,164,664,113,0.65,0.28,336,430,718,B,无,302,106,12,14,125,浙A***58,小汽车
路网,2021-06-12 10:21:00,246,107,751,115,0.51,0.22,314,405,735,C,无,354,118,5,19,120,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:21:00,295,130,680,103,0.38,0.34,499,429,700,B,红垦枢纽_机场互通_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,379,115,11,19,100,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:21:00,218,150,778,105,0.45,0.29,341,403,663,D,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,347,105,6,10,129,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:21:00,297,160,725,115,0.52,0.32,357,420,680,D,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,341,114,14,13,100,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:21:00,263,142,793,103,0.37,0.27,472,425,606,C,机场互通_瓜沥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,432,107,14,18,121,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:21:00,223,154,747,111,0.22,0.3,432,420,605,C,无,436,114,10,12,125,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:21:00,211,178,726,104,0.54,0.2,469,402,748,D,无,464,117,14,16,109,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:21:00,299,192,710,108,0.56,0.3,346,425,678,D,无,397,116,11,15,113,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:21:00,205,194,621,113,0.45,0.39,482,430,633,C,无,311,104,14,11,130,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:21:00,274,168,741,112,0.39,0.31,301,400,629,B,无,437,116,11,17,101,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:21:00,262,145,691,118,0.38,0.22,396,420,706,D,无,423,114,3,17,108,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:21:00,258,163,618,111,0.49,0.38,441,424,728,A,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,443,115,12,18,106,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:21:00,244,193,701,104,0.21,0.38,424,405,742,A,无,488,114,4,10,109,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:21:00,255,125,710,110,0.38,0.39,425,407,704,A,沽渚枢纽_上虞互通_杭州方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,383,108,10,18,121,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:21:00,245,101,602,107,0.66,0.28,422,426,619,C,无,457,109,11,11,122,浙A***58,小汽车
